NGI_reference	LiU_reference	Population	Sex	Age
P11003_1001	AB_1	Dahomey	Female	A1
P11003_1002	AB_2	Dahomey	Female	A1
P11003_1003	AB_3	Dahomey	Female	A1
P11003_1004	AB_4	Dahomey	Female	A1
P11003_1005	AB_5	Dahomey	Female	A1
P11003_1006	AB_6	Dahomey	Female	A2
P11003_1007	AB_7	Dahomey	Female	A2
P11003_1008	AB_8	Dahomey	Female	A2
P11003_1009	AB_9	Dahomey	Female	A2
P11003_1010	AB_10	Dahomey	Female	A2
P11003_1011	AB_11	Dahomey	Female	A3
P11003_1012	AB_12	Dahomey	Female	A3
P11003_1013	AB_13	Dahomey	Female	A3
P11003_1014	AB_14	Dahomey	Female	A3
P11003_1015	AB_15	Dahomey	Female	A3
P11003_1016	AB_16	Dahomey	Male	A1
P11003_1017	AB_17	Dahomey	Male	A1
P11003_1018	AB_18	Dahomey	Male	A1
P11003_1019	AB_19	Dahomey	Male	A1
P11003_1020	AB_20	Dahomey	Male	A1
P11003_1021	AB_21	Dahomey	Male	A2
P11003_1022	AB_22	Dahomey	Male	A2
P11003_1023	AB_23	Dahomey	Male	A2
P11003_1024	AB_24	Dahomey	Male	A2
P11003_1025	AB_25	Dahomey	Male	A2
P11003_1026	AB_26	Dahomey	Male	A3
P11003_1027	AB_27	Dahomey	Male	A3
P11003_1028	AB_28	Dahomey	Male	A3
P11003_1029	AB_29	Dahomey	Male	A3
P11003_1030	AB_30	Dahomey	Male	A3
P11003_1031	AB_31	Dah_outbred	Female	A1
P11003_1032	AB_32	Dah_outbred	Female	A1
P11003_1033	AB_33	Dah_outbred	Female	A1
P11003_1034	AB_34	Dah_outbred	Female	A1
P11003_1035	AB_35	Dah_outbred	Female	A1
P11003_1036	AB_36	Dah_outbred	Female	A2
P11003_1037	AB_37	Dah_outbred	Female	A2
P11003_1038	AB_38	Dah_outbred	Female	A2
P11003_1039	AB_39	Dah_outbred	Female	A2
P11003_1040	AB_40	Dah_outbred	Female	A2
P11003_1041	AB_41	Dah_outbred	Female	A3
P11003_1042	AB_42	Dah_outbred	Female	A3
P11003_1043	AB_43	Dah_outbred	Female	A3
P11003_1044	AB_44	Dah_outbred	Female	A3
P11003_1045	AB_45	Dah_outbred	Female	A3
P11003_1046	AB_46	Dah_outbred	Male	A1
P11003_1047	AB_47	Dah_outbred	Male	A1
P11003_1048	AB_48	Dah_outbred	Male	A1
P11003_1049	AB_49	Dah_outbred	Male	A1
P11003_1050	AB_50	Dah_outbred	Male	A1
P11003_1051	AB_51	Dah_outbred	Male	A2
P11003_1052	AB_52	Dah_outbred	Male	A2
P11003_1053	AB_53	Dah_outbred	Male	A2
P11003_1054	AB_54	Dah_outbred	Male	A2
P11003_1055	AB_55	Dah_outbred	Male	A2
P11003_1056	AB_56	Dah_outbred	Male	A3
P11003_1057	AB_57	Dah_outbred	Male	A3
P11003_1058	AB_58	Dah_outbred	Male	A3
P11003_1059	AB_59	Dah_outbred	Male	A3
P11003_1060	AB_60	Dah_outbred	Male	A3
P11003_1061	AB_61	Lhm	Female	A1
P11003_1062	AB_62	Lhm	Female	A1
P11003_1063	AB_63	Lhm	Female	A1
P11003_1064	AB_64	Lhm	Female	A1
P11003_1065	AB_65	Lhm	Female	A1
P11003_1066	AB_66	Lhm	Female	A2
P11003_1067	AB_67	Lhm	Female	A2
P11003_1068	AB_68	Lhm	Female	A2
P11003_1069	AB_69	Lhm	Female	A2
P11003_1070	AB_70	Lhm	Female	A2
P11003_1071	AB_71	Lhm	Female	A3
P11003_1072	AB_72	Lhm	Female	A3
P11003_1073	AB_73	Lhm	Female	A3
P11003_1074	AB_74	Lhm	Female	A3
P11003_1075	AB_75	Lhm	Female	A3
P11003_1076	AB_76	Lhm	Male	A1
P11003_1077	AB_77	Lhm	Male	A1
P11003_1078	AB_78	Lhm	Male	A1
P11003_1079	AB_79	Lhm	Male	A1
P11003_1080	AB_80	Lhm	Male	A1
P11003_1081	AB_81	Lhm	Male	A2
P11003_1082	AB_82	Lhm	Male	A2
P11003_1083	AB_83	Lhm	Male	A2
P11003_1084	AB_84	Lhm	Male	A2
P11003_1085	AB_85	Lhm	Male	A2
P11003_1086	AB_86	Lhm	Male	A3
P11003_1087	AB_87	Lhm	Male	A3
P11003_1088	AB_88	Lhm	Male	A3
P11003_1089	AB_89	Lhm	Male	A3
P11003_1090	AB_90	Lhm	Male	A3
