Population	Replicate	Starting	First Sampling	Died until Age 2	Second sampling	Died until Age 3	Survival Age 2	Survival Age 3
Lhm	1	480	90	74	90	49	0.81025641	0.59
Lhm	2	480	90	84	90	52	0.784615385	0.546666667
Lhm	3	480	90	68	90	57	0.825641026	0.583333333
Lhm	4	480	90	63	90	56	0.838461538	0.603333333
Lhm	5	480	90	53	90	53	0.864102564	0.646666667
Dah	1	480	90	43	90	33	0.88974359	0.746666667
Dah	2	480	90	56	90	27	0.856410256	0.723333333
Dah	3	480	90	49	90	32	0.874358974	0.73
Dah	4	480	90	42	90	53	0.892307692	0.683333333
Dah	5	480	90	62	90	28	0.841025641	0.7
Dah 15x18	1	480	90	72	90	16	0.815384615	0.706666667
Dah 15x18	2	480	90	58	90	19	0.851282051	0.743333333
Dah 15x18	3	480	90	61	90	19	0.843589744	0.733333333
Dah 15x18	4	480	90	51	90	24	0.869230769	0.75
Dah 15x18	5	480	90	52	90	25	0.866666667	0.743333333
