tau_Male	tau_Female	tau_Male_threshold	tau_Female_threshold
FBgn0000003	0.800876040297854	0.854429891609647	low	high
FBgn0000008	0.556515478761699	0.671024133663366	low	low
FBgn0000014	0.864809081527348	0.920041259168704	high	high
FBgn0000015	0.906369333916339	0.880459001782531	high	high
FBgn0000017	0.56326768781911	0.597173862581244	low	low
FBgn0000018	0.5361285814116	0.560537291462218	low	low
FBgn0000022	0.858333333333333	0.830357142857143	high	high
FBgn0000024	0.761932111037479	0.871419515401953	low	high
FBgn0000028	0.856574923547401	0.912060301507538	low	high
FBgn0000032	0.736106215485842	0.6448254101809	low	low
FBgn0000036	0.869813176007866	0.908338637810312	high	high
FBgn0000037	0.927392739273927	0.921863189720333	high	high
FBgn0000038	0.856084834202996	0.886056304138595	low	high
FBgn0000039	0.914355231143552	0.914313399778516	high	high
FBgn0000042	0.792193542150039	0.781345810159151	low	low
FBgn0000043	0.944872696424784	0.85217895822589	high	high
FBgn0000044	0.869282346530196	0.90120024828355	high	high
FBgn0000045	0.881231370130538	0.909568684305908	high	high
FBgn0000046	0.812018456915978	0.93162314429136	low	high
FBgn0000047	0.976994832907758	0.965221950367005	high	high
FBgn0000052	0.753234241673548	0.601773180642778	low	low
FBgn0000053	0.647749970626248	0.547943959243086	low	low
FBgn0000054	0.451379811183733	0.458910495471497	low	low
FBgn0000055	0.670431766565278	0.591628300137053	low	low
FBgn0000056	0.908637610484608	0.805214425493118	high	high
FBgn0000057	0.719036519036519	0.451795212765957	low	low
FBgn0000061	0.866666666666667	0.850506756756757	high	high
FBgn0000063	0.955824508320726	0.882950885668277	high	high
FBgn0000064	0.709085620373198	0.764466021779801	low	low
FBgn0000071	0.934741784037559	0.813878676470588	high	high
FBgn0000075	0.74835886214442	0.734652114597544	low	low
FBgn0000077	0.32094861660079	0.229370629370629	low	low
FBgn0000078	0.983916486558545	0.979122536596437	high	high
FBgn0000079	0.987500968761251	0.979626032754571	high	high
FBgn0000083	0.723710062514809	0.784199057777028	low	low
FBgn0000084	0.618385964912281	0.727739726027397	low	low
FBgn0000092	0.944880400869812	0.783040935672515	high	low
FBgn0000094	0.982023780184795	0.958874458874459	high	high
FBgn0000097	0.678120753251796	0.332129726890756	low	low
FBgn0000099	0.631477093206951	0.644126201315124	low	low
FBgn0000100	0.673795618011149	0.617151837112546	low	low
FBgn0000108	0.85263600673023	0.87593797856049	low	high
FBgn0000109	0.519179402450778	0.614009728340675	low	low
FBgn0000114	0.923082751528928	0.85569443597096	high	high
FBgn0000115	0.690277317423489	0.470110361741263	low	low
FBgn0000116	0.569638654298768	0.690771709594922	low	low
FBgn0000117	0.376830155726968	0.378477306002928	low	low
FBgn0000119	0.681744203899893	0.605138370646766	low	low
FBgn0000120	0.986215072370451	0.987492729831698	high	high
FBgn0000121	0.986693221176222	0.98675872569237	high	high
FBgn0000137	0.922222222222222	0.7	high	low
FBgn0000139	0.453045781309118	0.407628988458927	low	low
FBgn0000140	0.982993966817496	0.905815261865794	high	high
FBgn0000146	0.947121535181237	0.879584241103849	high	high
FBgn0000147	0.975704154002026	0.874126746506986	high	high
FBgn0000150	0.722459143043917	0.48400281879987	low	low
FBgn0000152	0.697295047856846	0.463815789473684	low	low
FBgn0000153	0.919047962495492	0.941819921007159	high	high
FBgn0000157	0.843936731107206	0.808613989637306	low	high
FBgn0000158	0.89557945041816	0.92478813559322	high	high
FBgn0000163	0.556713571465388	0.777819608815817	low	low
FBgn0000166	0.623529411764706	0.920869813475447	low	high
FBgn0000173	0.4582644085598	0.436600657804577	low	low
FBgn0000179	0.843391521197007	0.842970914127424	low	high
FBgn0000180	0.916643866849065	0.892622591943958	high	high
FBgn0000181	0.65448275862069	0.290283217396387	low	low
FBgn0000182	0.986499433847226	0.868792026897214	high	high
FBgn0000183	0.434242424242424	0.442972021317092	low	low
FBgn0000206	0.985706054892101	0.984399086104382	high	high
FBgn0000210	0.750684931506849	0.763997395833333	low	low
FBgn0000212	0.482347900599829	0.576741803278689	low	low
FBgn0000216	0.933333333333333	0.963200934579439	high	high
FBgn0000221	0.585865724381625	0.377554495912807	low	low
FBgn0000227	0.990476190476191	0.925	high	high
FBgn0000228	0.581291416242873	0.564367088607595	low	low
FBgn0000229	0.728931770459559	0.752859624582619	low	low
FBgn0000233	0.745679012345679	0.798986486486487	low	low
FBgn0000239	0.539851548502687	0.410640810728437	low	low
FBgn0000241	0.936549707602339	0.918911229135053	high	high
FBgn0000244	0.561045158286778	0.534906835983859	low	low
FBgn0000246	0.691780821917808	0.834462982273201	low	high
FBgn0000247	0.337878787878788	0.4344840862423	low	low
FBgn0000250	0.739084784320588	0.717515135400475	low	low
FBgn0000251	0.963775980341968	0.943093826764926	high	high
FBgn0000253	0.827855725931396	0.790638625970435	low	low
FBgn0000256	0.906310485025482	0.559881284916201	high	low
FBgn0000257	0.503768115942029	0.432092875318066	low	low
FBgn0000259	0.365170362358031	0.273368694955965	low	low
FBgn0000261	0.749216615276629	0.851200164440566	low	high
FBgn0000273	0.51667379831693	0.505202104759627	low	low
FBgn0000274	0.990986260610834	0.875	high	high
FBgn0000276	0.945742180768963	0.905640597299877	high	high
FBgn0000277	0.982874617737003	0.932204749679076	high	high
FBgn0000278	0.967941712204007	0.894375672766415	high	high
FBgn0000279	0.959525538610506	0.911802804023164	high	high
FBgn0000280	NA	NA	NA	NA
FBgn0000281	NA	NA	NA	NA
FBgn0000283	0.410036363636364	0.555470946579194	low	low
FBgn0000286	0.490639625585023	0.445203993055556	low	low
FBgn0000287	0.944850028296548	0.831490384615385	high	high
FBgn0000289	0.624319189360355	0.537892357557148	low	low
FBgn0000299	0.764488212473888	0.799840851218625	low	low
FBgn0000303	0.902762317048031	0.918882072256305	high	high
FBgn0000307	0.495171026156942	0.59246195307546	low	low
FBgn0000308	0.517080278879996	0.631988560066109	low	low
FBgn0000316	0.211118930330753	0.350712576153177	low	low
FBgn0000317	0.713951310861423	0.713782193605684	low	low
FBgn0000318	0.600057062358459	0.613736495865773	low	low
FBgn0000319	0.332532123960695	0.438947050533521	low	low
FBgn0000320	0.957794793261868	0.96844454887218	high	high
FBgn0000326	0.575089477451682	0.396763959390863	low	low
FBgn0000330	0.447995418098511	0.419839255499154	low	low
FBgn0000337	0.711111111111111	0.75	low	low
FBgn0000339	0.541810009508168	0.588931980906921	low	low
FBgn0000346	0.854677897859716	0.894751940248686	low	high
FBgn0000351	0.769264069264069	0.889367400115808	low	high
FBgn0000352	0.802089268755935	0.659855769230769	low	low
FBgn0000355	0.970654940985883	0.886527001113803	high	high
FBgn0000356	0.998624110071194	0.853058555518056	high	high
FBgn0000357	0.996651794226442	0.861400888421118	high	high
FBgn0000358	0.99672187715666	0.861332317334936	high	high
FBgn0000359	0.930254777070064	0.914640981619875	high	high
FBgn0000360	0.921086556169429	0.884183473022525	high	high
FBgn0000370	0.524005907556843	0.608423818874899	low	low
FBgn0000376	0.43207810320781	0.721326164874552	low	low
FBgn0000377	0.448836187966623	0.325500645994832	low	low
FBgn0000382	0.616752429959977	0.52664752870694	low	low
FBgn0000384	0.392469282600079	0.337346625766871	low	low
FBgn0000392	0.988484719563214	0.928301237964237	high	high
FBgn0000394	0.776685886187014	0.805678587051619	low	high
FBgn0000395	0.630789302022179	0.584888059701492	low	low
FBgn0000404	0.963022400534938	0.901499556625285	high	high
FBgn0000405	0.968445281439632	0.90242444970487	high	high
FBgn0000406	0.876756585288484	0.743424151679817	high	low
FBgn0000409	0.719104425369459	0.666010428746845	low	low
FBgn0000411	0.963066025803187	0.94455329153605	high	high
FBgn0000412	0.723186015831135	0.600601438492063	low	low
FBgn0000413	0.378341013824885	0.285958383961118	low	low
FBgn0000414	0.466927252985885	0.529919748778786	low	low
FBgn0000416	0.442834780631564	0.451622444472489	low	low
FBgn0000422	0.877477865003405	0.898104997192588	high	high
FBgn0000426	0.830001630523398	0.857252546943668	low	high
FBgn0000427	0.885507246376812	0.846919267895199	high	high
FBgn0000439	0.970548367221195	0.97353515625	high	high
FBgn0000442	0.848781588447654	0.886734522207268	low	high
FBgn0000447	0.910733641771315	0.416160081053698	high	low
FBgn0000448	0.850247699929229	0.775793650793651	low	low
FBgn0000449	0.802898550724638	0.8046875	low	low
FBgn0000451	0.979899036255163	0.970403663500678	high	high
FBgn0000454	0.791241959426027	0.753489799773328	low	low
FBgn0000455	0.750093457943925	0.780404019688269	low	low
FBgn0000459	0.644546850998464	0.829903147699758	low	high
FBgn0000463	0.786599664991625	0.805209313264346	low	high
FBgn0000464	0.793614219881501	0.78793615797546	low	low
